<<<<<<< HEAD
id,name,provider,country,level,field_of_study,min_gpa,funding_type,value,deadline,eligibility,language_req,description,apply_url,source_url,source_type,collected_by,date_added,needs_review
SCH-002,DAAD Scholarships in Germany for Development-Related Postgraduate Courses,DAAD,Germany,Masters,Economic Sciences/Business Administration/Political Economics,Good academic standing,Fully Funded,"992 euros, 1,300 euros, monthly stipend, travel allowance, health insurance",Aug-Oct 2026 (annual),International students; verify country eligibility on the official site.,German/English,"DAAD Masters/PhD Degree Deadline: Aug-Oct 2026 (annual) Study in: Germany Next course starts AY 2027/2028 Deadline: Aug-Oct 2026 (annual) Study in: Germany Next course starts AY 2027/2028 The German Academic Exchange Service (DAAD) scholarships offer foreign graduates from development and newly industrialized countries from all disciplines and with at least two years’ professional experience the chance to take a postgraduate or Master’s degree at a state or state-recognized German university, and in exceptional cases to take a doctoral degree, and to obtain a university qualification (Master’s/PhD) in Germany. German Universities offering development-related postgraduate courses Masters or PhD courses in Economic Sciences/Business Administration/Political Economics; Development Cooperation; Engineering and Related Sciences; Mathematics; Regional and Urban Planning; Agricultural and Fores",https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/,https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/,Official,Emmanuel,2026-06-30,yes
SCH-003,Rhodes Scholarships at Oxford University for International Students,Rhodes Scholarship Fund,UK,Masters,"the world. Host Institution(s): Oxford University in UK Level/Fields of study: Subject to limited restrictions, Rhodes Scholars may study any full-time postgraduate degree at the University of Oxford",Good academic standing,Fully Funded,"£20,400, monthly stipend, travel allowance, health insurance","varies, July-Oct 2026 (annual)",applicant must fulfil the citizenship and residency requirements of the Rhodes constituency for which they are applying.,English,"Rhodes Scholarship Fund Masters/PhD Degree Deadline: varies, July-Oct 2026 (annual) Study in: UK Course starts October 2026 Rhodes Scholarship Fund Masters/PhD Degree Deadline: varies, July-Oct 2026 (annual) Study in: UK Course starts October 2026 The Rhodes Scholarships are postgraduate awards supporting exceptional all-round students at the University of Oxford. Established in the will of Cecil Rhodes in 1902, the Rhodes is the oldest and perhaps the most prestigious international scholarship program in the world. Subject to limited restrictions, Rhodes Scholars may study any full-time postgraduate degree at the University of Oxford. A class of 95 Scholars is selected each year Australia, Bermuda, Canada, China, Commonwealth Caribbean (Anguilla, Antigua, the Bahamas, Barbados, Belize, the British Virgin Islands, the Cayman Islands, Dominica, Grenada, Guyana, Montserrat, St Lucia, St. K",https://www.rhodeshouse.ox.ac.uk/scholarships/application-overview/,https://www.scholars4dev.com/3667/rhodes-international-scholarships-at-oxford-university/,Official,Emmanuel,2026-06-30,no
SCH-004,University of Sydney International Stipend Scholarship (USYDIS),University of Sydney,Australia,Masters,Arts,Good academic standing,Fully Funded,"$42,754, monthly stipend, tuition, living allowance",11 Sept/18 Dec 2026,"be a commencing or enrolled international student • have an unconditional offer of admission or be currently enrolled in a master’s by research or PhD at the University of Sydney. • Apply for admission and submit all required documentation for admission to a higher degree by research through Sydney Courses by the deadlines outlined in the Application and Award Timeline tables below, and",English,"University of Sydney Masters/PhD Degree Deadline: 11 Sept/18 Dec 2026 Study in: Australia Course starts 2027 Deadline: 11 Sept/18 Dec 2026 Study in: Australia Course starts 2027 The University of Sydney International Stipend Scholarship (USYDIS), funded by the University of Sydney, provides a yearly scholarship to high quality international postgraduate students who wish to study a master’s by research or PhD. Master’s by research or PhD Degree offered at the University For 2025 awards, the scholarship is valued at $42,754 p.a. per annum. The scholarship assists with tuition fees and living costs. The Scholarship may be held for up to 14 research periods (full time) for Research Doctorate studies, or for up to 7 research periods for Research Masters studies. For research periods 1 and 2 in 2027, the deadline is 11 September 2026 while research periods 3 and 4 in 2027, the deadline is 18",https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/,https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/,Official,Emmanuel,2026-06-30,no
SCH-005,Fulbright Foreign Student Program in USA,USA Government,US,Masters,"your home country, including eligibility requirements and application guidelines",Good academic standing,Fully Funded,"monthly stipend, tuition, travel allowance, health insurance","varies, Feb-Oct 2026",International students; verify country eligibility on the official site.,English,"USA Government Masters/PhD Degrees Deadline: varies, Feb-Oct 2026 Study in: USA Course starts AY 2027-2028 Deadline: varies, Feb-Oct 2026 Study in: USA Course starts AY 2027-2028 The Fulbright Foreign Student Program enables graduate students, young professionals and artists from abroad to study and conduct research in the United States at U.S. universities or other academic institutions. USA Universities and Academic Institutions Fulbright encourages applications from all fields, including interdisciplinary ones. Approximately 4,000 foreign students receive Fulbright scholarships each year. International students from 155 countries around the world Generally, the grant funds tuition, airfare, a living stipend, and health insurance, etc. The Fulbright program provides funding for the duration of the study. See the official website and country specific websites for the complete list of sc",https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,yes
SCH-006,DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,DAAD,Germany,Masters,Economics; Health; Law; Education; Political; Development; Management; Arts; Science,Good academic standing,Fully Funded,"€., monthly stipend, tuition, travel allowance, health insurance",31 July 2026 (annual),"graduates from developing countries the chance to obtain a Master’s degree in disciplines that are of special relevance for the social, political and economic development of their home country at German institutions of higher education.",German/English,"DAAD Masters Degree Deadline: 31 July 2026 (annual) Study in: Germany Next course starts Sept/Oct 2027 Deadline: 31 July 2026 (annual) Study in: Germany Next course starts Sept/Oct 2027 The DAAD Helmut-Schmidt-Programme Masters Scholarships for Public Policy and Good Governance Programme offers very good graduates from developing countries the chance to obtain a Master’s degree in disciplines that are of special relevance for the social, political and economic development of their home country at German institutions of higher education. Participating Programmes in Host Institutions: The scholarships are awarded for selected Master courses at German institutions of higher education listed below: • . Hochschule Bonn-Rhein-Sieg: Social Protection • University of Duisburg-Essen: Development and Governance • Willy Brandt School of Public Policy at the University of Erfurt: Public Policy • Uni",https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,Official,Emmanuel,2026-06-30,no
SCH-007,Adelaide Global Academic Excellence Scholarships for International Students,University of Adelaide,Australia,Undergraduate,Arts,Good academic standing,Partial,tuition,22 May 2026 (annual),"be an international student • be applying to study a CRICOS registered bachelor degree (minimum 96 units / 2 years equivalent) after the application of any credit/RPL, or a CRICOS registered master degree (minimum 72 units / 1.5 years equivalent) after the application of any credit/RPL, at Adelaide University; • satisfy one of the following in the qualification used as the basis of admission to th",English,"Last updated: 27 Apr 2026 | CURRENTLY CLOSED University of Adelaide Bachelors/Masters Degree Deadline: 22 May 2026 (annual) Study in: Australia Next course starts 2026 University of Adelaide Bachelors/Masters Degree Deadline: 22 May 2026 (annual) Study in: Australia Next course starts 2026 The University of Adelaide Global Academic Excellence Scholarship (International) is a highly competitive award that rewards commencing undergraduate and postgraduate coursework international students who have demonstrated academic excellence in previous studies. Undergraduate or postgraduate coursework degrees in any discipline offered at the University with some exceptions The scholarship is a 50% reduction of the tuition fees. To be eligible for this scholarship you must: To apply, you must complete the application form following the instructions provided at the official website. For Semester 2, 202",https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-008,University of New South Wales International Scholarships,University of New South Wales,Australia,Undergraduate,Arts,Good academic standing,,"$20,000, $10,000, tuition",18 June 2026 (Annual),"Must be an international student; and • Be commencing full-time study in a UNSW undergraduate or postgraduate coursework degree program (excluding UNSW online and UNSW Canberra) in Term 3, 2026. • Must be an international student; and •  Be commencing full-time study in a UNSW undergraduate or postgraduate coursework degree program (excluding UNSW online and UNSW Canberra) in Term 3, 2026. • Under",English,"University of New South Wales Bachelors/Masters Degree Deadline: 18 June 2026 (Annual) Study in: Australia Course starts Term 3, 2026 University of New South Wales Bachelors/Masters Degree Deadline: 18 June 2026 (Annual) Study in: Australia Course starts Term 3, 2026 UNSW offers a wide range of Scholarships and Awards to support International undergraduate and postgraduate coursework students commencing full-time study at UNSW including the International Scientia Coursework Scholarships and Australia’s Global University Award. Eligible Undergraduate and Postgraduate coursework Programmes offered at the University International Scientia Coursework Scholarship: Full tuition fee or $20,000 per annum paid directly towards tuition fees for the minimum duration of program. Australia’s Global University Award: $10,000 for 1 year. See the details of other scholarships at the official website. To",https://www.scholars4dev.com/23382/unsw-international-scholarships/,https://www.scholars4dev.com/23382/unsw-international-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-009,The Glenmore Medical Postgraduate Scholarship at the University of Edinburgh,University of Edinburgh,UK,Masters,Data Science; Medicine; Public Health; Health; Education; Management; Arts; Science; Biology,Good academic standing,Fully Funded,tuition,28 May 2026 (annual),eligible Human Medical programmes offered by the University in the 2026-2027 academic session.,English,Last updated: 27 Apr 2026 | CURRENTLY CLOSED University of Edinburgh Masters Degree Deadline: 28 May 2026 (annual) Study in: UK Course starts September 2026 Deadline: 28 May 2026 (annual) Study in: UK Course starts September 2026 Four scholarships are available for postgraduate full-time one year Masters study for eligible Human Medical programmes offered by the University in the 2026-2027 academic session. International students from eligible developing countries listed at this link . The scholarship will cover full tuition fees for the duration of the programme of study. The scholarships will be awarded to applicants who are accepted for admission in the 2026-2027 academic year on one of the above listed eligible Human Medical programmes. Applicants should already have been offered a place at the University of Edinburgh and should have firmly accepted that offer or be intending to do s,https://www.scholars4dev.com/15839/the-glenmore-medical-postgraduate-scholarship-at-the-university-of-edinburgh/,https://www.scholars4dev.com/15839/the-glenmore-medical-postgraduate-scholarship-at-the-university-of-edinburgh/,Official,Emmanuel,2026-06-30,no
SCH-010,Bocconi Graduate Graduate Award,Bocconi University,Italy,Masters,Arts; Science,Good academic standing,,tuition,2026-04-29,International students; verify country eligibility on the official site.,English,"Last updated: 14 Apr 2026 | CURRENTLY CLOSED Bocconi University Masters Degree Deadline: 29 April 2026 Study in: Milan, Italy Course starts 2026/27 Deadline: 29 April 2026 Study in: Milan, Italy Course starts 2026/27 Bocconi Merit Awards are offered by Bocconi University for first graduate applicants for the 2026-2027 academic year based on their academic standing. Master of Science Program offered at the University All students including international students The Merit Award includes a full tuition and fees waiver. Academic profiles considered to be amongst the top applicants (International, Italian and Bocconi) will be considered for a Merit Award based on the admission’s application submitted to Bocconi University. The Bocconi Merit Award evaluation will primarily be based on the candidate’s academic achievement. In addition to academic achievement, the complete dossier provided to t",https://www.scholars4dev.com/7574/scholarships-in-italy-for-international-students-at-bocconi-univiersity/,https://www.scholars4dev.com/7574/scholarships-in-italy-for-international-students-at-bocconi-univiersity/,Official,Emmanuel,2026-06-30,yes
SCH-011,Australia Research Training Program (RTP) Scholarships,Australian Government,Australia,Masters,study at an Australian HEP,Good academic standing,Fully Funded,"monthly stipend, tuition, living allowance","varies, April-Oct (annual)",An RTP Fees Offset pays for the tuition fees of a higher degree by research (HDR) student that would otherwise have been paid by the student. This requires that a university to fully offset tuition fee applicable for a student. This is not a stipend. • An RTP Stipend to assist students with their living costs while undertaking a higher degree by research. • RTP Allowances to assist students with a,English,"Australian Government Masters/PhD Degree Deadline: varies, April-Oct (annual) Study in: Australia Course starts 2026/2027 Deadline: varies, April-Oct (annual) Study in: Australia Course starts 2026/2027 On 31 December 2016, the International Postgraduate Research Scholarship (IPRS) ceased and was replaced by the Research Training Program (RTP) from 1 January 2017. The RTP provides block grants, on a calendar year basis, to higher education providers (HEPs) to support both domestic and overseas students undertaking Research Doctorate and Research Masters degrees, known as higher degrees by research (HDRs). Masters by research degree or Doctorate Degree offered by participating Universities in Australia. Under RTP, a University provides one or more of the following types of support to an RTP Scholarship recipient: RTP scholarships are available for a maximum period of two years for a resea",https://www.education.gov.au/higher-education-providers-eligible-research-block-grants,https://www.scholars4dev.com/3023/international-postgraduate-scholarships-at-australian-universities/,Official,Emmanuel,2026-06-30,no
