id,name,provider,country,level,field_of_study,min_gpa,funding_type,value,deadline,eligibility,language_req,description,apply_url,source_url,source_type,collected_by,date_added,needs_review
SCH-002,DAAD Scholarships in Germany for Development-Related Postgraduate Courses,DAAD,Germany,Masters,Economic Sciences; Business Administration; Political Economics; Development Cooperation; Engineering; Mathematics; Agriculture; Environmental Sciences; Public Health,Good academic standing,Fully Funded,"992 euros, 1,300 euros, monthly stipend, travel allowance, health insurance",Aug-Oct 2026 (annual),International students; verify country eligibility on the official site.,German/English,"DAAD Masters/PhD Degree Deadline: Aug-Oct 2026 (annual) Study in: Germany Next course starts AY 2027/2028 The German Academic Exchange Service (DAAD) scholarships offer foreign graduates from development and newly industrialized countries from all disciplines and with at least two years' professional experience the chance to take a postgraduate or Master's degree at a state or state-recognized German university. Masters or PhD courses in Economic Sciences/Business Administration/Political Economics; Development Cooperation; Engineering and Related Sciences; Mathematics; Regional and Urban Planning; Agricultural and Forest Sciences; Environmental Sciences; Public Health.",https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/,https://www.scholars4dev.com/1002/daad-scholarships-for-postgraduate-courses-with-special-relevance-to-developing-countries/,Official,Emmanuel,2026-06-30,yes
SCH-003,Rhodes Scholarships at Oxford University for International Students,Rhodes Scholarship Fund,UK,Masters,Any full-time postgraduate degree at the University of Oxford,Good academic standing,Fully Funded,"£20,400, monthly stipend, travel allowance, health insurance","varies, July-Oct 2026 (annual)",Applicant must fulfil the citizenship and residency requirements of the Rhodes constituency for which they are applying.,English,"The Rhodes Scholarships are postgraduate awards supporting exceptional all-round students at the University of Oxford. Established in the will of Cecil Rhodes in 1902, the Rhodes is the oldest and perhaps the most prestigious international scholarship program in the world. Subject to limited restrictions, Rhodes Scholars may study any full-time postgraduate degree at the University of Oxford. A class of 95 Scholars is selected each year.",https://www.rhodeshouse.ox.ac.uk/scholarships/application-overview/,https://www.scholars4dev.com/3667/rhodes-international-scholarships-at-oxford-university/,Official,Emmanuel,2026-06-30,no
SCH-004,University of Sydney International Stipend Scholarship (USYDIS),University of Sydney,Australia,Masters,Research-based Masters and PhD across all disciplines,Good academic standing,Fully Funded,"$42,754, monthly stipend, tuition, living allowance",11 Sept/18 Dec 2026,"Be a commencing or enrolled international student; have an unconditional offer of admission or be currently enrolled in a master's by research or PhD at the University of Sydney.",English,"The University of Sydney International Stipend Scholarship (USYDIS) provides a yearly scholarship to high quality international postgraduate students who wish to study a master's by research or PhD. The scholarship assists with tuition fees and living costs.",https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/,https://www.scholars4dev.com/2053/international-scholarships-at-university-of-sydney/,Official,Emmanuel,2026-06-30,no
SCH-005,Fulbright Foreign Student Program in USA,USA Government,US,Masters,Most academic fields,Good academic standing,Fully Funded,"monthly stipend, tuition, travel allowance, health insurance","varies, Feb-Oct 2026",International students; verify country eligibility on the official site.,English,"The Fulbright Foreign Student Program enables graduate students, young professionals and artists from abroad to study and conduct research in the United States at U.S. universities or other academic institutions. Fulbright encourages applications from all fields. Approximately 4,000 foreign students receive Fulbright scholarships each year.",https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,yes
SCH-006,DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,DAAD,Germany,Masters,Economics; Health; Law; Education; Political Science; Development; Management; Arts; Science,Good academic standing,Fully Funded,"€., monthly stipend, tuition, travel allowance, health insurance",31 July 2026 (annual),Graduates from developing countries committed to obtaining a Master's degree in disciplines relevant to social; political and economic development of their home country.,German/English,"The DAAD Helmut-Schmidt-Programme Masters Scholarships for Public Policy and Good Governance offers very good graduates from developing countries the chance to obtain a Master's degree in disciplines relevant to the social, political and economic development of their home country at German institutions.",https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,Official,Emmanuel,2026-06-30,no
SCH-007,Adelaide Global Academic Excellence Scholarships for International Students,University of Adelaide,Australia,Undergraduate,Most undergraduate and postgraduate coursework programs,Good academic standing,Partial,50% tuition fee reduction,22 May 2026 (annual),"Be an international student; be applying to study a CRICOS registered bachelor degree (minimum 96 units) or a CRICOS registered master degree (minimum 72 units) at Adelaide University.",English,"The University of Adelaide Global Academic Excellence Scholarship (International) rewards commencing undergraduate and postgraduate coursework international students who have demonstrated academic excellence. The scholarship is a 50% reduction of the tuition fees.",https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,Official,Emmanuel,2026-06-30,no
SCH-008,University of New South Wales International Scholarships,University of New South Wales,Australia,Undergraduate,Most undergraduate and postgraduate programs,Good academic standing,Partial,"$20,000, $10,000, tuition",18 June 2026 (Annual),"Must be an international student; be commencing full-time study in a UNSW undergraduate or postgraduate coursework degree program in Term 3, 2026.",English,"UNSW offers a wide range of Scholarships and Awards to support International undergraduate and postgraduate coursework students commencing full-time study at UNSW including the International Scientia Coursework Scholarships and Australia's Global University Award.",https://www.scholars4dev.com/23382/unsw-international-scholarships/,https://www.scholars4dev.com/23382/unsw-international-scholarships/,Official,Emmanuel,2026-06-30,yes
SCH-009,The Glenmore Medical Postgraduate Scholarship at the University of Edinburgh,University of Edinburgh,UK,Masters,Medicine; Medical Sciences; Public Health; Health; Data Science; Biology,Good academic standing,Fully Funded,Full tuition fees,28 May 2026 (annual),International students from eligible developing countries admitted to eligible Human Medical programmes offered by the University in the 2026-2027 academic session.,English,"Four scholarships available for postgraduate full-time one year Masters study for eligible Human Medical programmes at the University of Edinburgh. The scholarship will cover full tuition fees for the duration of the programme.",https://www.scholars4dev.com/15839/the-glenmore-medical-postgraduate-scholarship-at-the-university-of-edinburgh/,https://www.scholars4dev.com/15839/the-glenmore-medical-postgraduate-scholarship-at-the-university-of-edinburgh/,Official,Emmanuel,2026-06-30,no
SCH-010,Bocconi Graduate Award,Bocconi University,Italy,Masters,Economics; Finance; Management; Business; Data Science; Law,Good academic standing,Partial,Full tuition and fees waiver,2026-04-29,International students; verify country eligibility on the official site.,English,"Bocconi Merit Awards are offered for first graduate applicants for the 2026-2027 academic year based on their academic standing. The Merit Award includes a full tuition and fees waiver. Academic profiles considered to be amongst the top applicants will be considered for a Merit Award based on the admission application.",https://www.scholars4dev.com/7574/scholarships-in-italy-for-international-students-at-bocconi-univiersity/,https://www.scholars4dev.com/7574/scholarships-in-italy-for-international-students-at-bocconi-univiersity/,Official,Emmanuel,2026-06-30,yes
SCH-011,Australia Research Training Program (RTP) Scholarships,Australian Government,Australia,Masters,Research Masters and PhD across all disciplines at Australian universities,Good academic standing,Fully Funded,"monthly stipend, tuition, living allowance","varies, April-Oct (annual)","An RTP Fees Offset pays for the tuition fees of a higher degree by research (HDR) student. An RTP Stipend assists students with their living costs while undertaking a higher degree by research.",English,"The RTP provides block grants to higher education providers to support both domestic and overseas students undertaking Research Doctorate and Research Masters degrees. Masters by research degree or Doctorate Degree offered by participating Universities in Australia.",https://www.education.gov.au/higher-education-providers-eligible-research-block-grants,https://www.scholars4dev.com/3023/international-postgraduate-scholarships-at-australian-universities/,Official,Emmanuel,2026-06-30,no
